variant,pct,price_lambda,stage1_precision,stage1_day_recall,stage1_event_recall,gt_days_per_event,oos_samples,positive_rate,auc_roc,auc_pr,precision,recall,event_recall,selected_premium_median,selected_count
v3_n2_temporal,0.008,0.0,0.28122717311906503,0.4993514915693904,0.740909090909091,3.5045454545454544,1369,0.28122717311906503,0.5789713335445043,0.3184340984741646,0.3207831325301205,0.5532467532467532,0.5772727272727273,0.0004684827790599755,664
v3_n2_stored_oos,0.008,0.0,0.28122717311906503,0.4993514915693904,0.740909090909091,3.5045454545454544,1369,0.28122717311906503,0.5712741526765917,0.3130610453233694,0.324773413897281,0.5584415584415584,0.5636363636363636,0.00048130103023402704,662
spatial,0.008,0.0,0.28122717311906503,0.4993514915693904,0.740909090909091,3.5045454545454544,1369,0.28122717311906503,0.7280923344947735,0.43788186685943603,0.4155844155844156,0.7480519480519481,0.6772727272727272,0.0009429659267589097,693
spatial,0.008,0.25,0.28122717311906503,0.4993514915693904,0.740909090909091,3.5045454545454544,1369,0.28122717311906503,0.7287284869601942,0.4448579570315125,0.42532005689900426,0.7766233766233767,0.6954545454545454,0.0010272463055416292,703
spatial,0.008,0.5,0.28122717311906503,0.4993514915693904,0.740909090909091,3.5045454545454544,1369,0.28122717311906503,0.7285925456657164,0.43979091873394044,0.4209770114942529,0.7610389610389611,0.6954545454545454,0.0005439591797478105,696
spatial,0.008,1.0,0.28122717311906503,0.4993514915693904,0.740909090909091,3.5045454545454544,1369,0.28122717311906503,0.7270562770562771,0.4367114709753724,0.4202279202279202,0.7662337662337663,0.7,0.0005960053752722683,702
spatial,0.008,2.0,0.28122717311906503,0.4993514915693904,0.740909090909091,3.5045454545454544,1369,0.28122717311906503,0.7249115721676698,0.4319052205762229,0.4222539229671897,0.7688311688311689,0.7,0.0005646326613754082,701
spatial,0.008,4.0,0.28122717311906503,0.4993514915693904,0.740909090909091,3.5045454545454544,1369,0.28122717311906503,0.7233607855559074,0.4311405146610194,0.41884057971014493,0.7506493506493507,0.6954545454545454,0.000585306143003006,690
v3_n2_temporal,0.01,0.0,0.32067202337472606,0.4782135076252723,0.740909090909091,4.172727272727273,1369,0.32067202337472606,0.5799752614691258,0.3682971108885729,0.3644578313253012,0.55125284738041,0.6090909090909091,0.001663148439479678,664
v3_n2_stored_oos,0.01,0.0,0.32067202337472606,0.4782135076252723,0.740909090909091,4.172727272727273,1369,0.32067202337472606,0.5726663727435276,0.3630925658863774,0.36706948640483383,0.5535307517084282,0.5909090909090909,0.0016947615398501537,662
spatial,0.01,0.0,0.32067202337472606,0.4782135076252723,0.740909090909091,4.172727272727273,1369,0.32067202337472606,0.7218005241629314,0.4831904728278675,0.4623493975903614,0.6993166287015945,0.6318181818181818,0.002343942273245858,664
spatial,0.01,0.25,0.32067202337472606,0.4782135076252723,0.740909090909091,4.172727272727273,1369,0.32067202337472606,0.721971979327406,0.48726867241918426,0.45875542691751087,0.7220956719817767,0.6636363636363637,0.0023396900332648407,691
spatial,0.01,0.5,0.32067202337472606,0.4782135076252723,0.740909090909091,4.172727272727273,1369,0.32067202337472606,0.7217748058882603,0.4838885733234235,0.46097201767304863,0.7129840546697038,0.6545454545454545,0.002347267711731549,679
spatial,0.01,1.0,0.32067202337472606,0.4782135076252723,0.740909090909091,4.172727272727273,1369,0.32067202337472606,0.7183763195924266,0.48056516229858415,0.46131386861313867,0.7198177676537585,0.6681818181818182,0.002230763954738091,685
spatial,0.01,2.0,0.32067202337472606,0.4782135076252723,0.740909090909091,4.172727272727273,1369,0.32067202337472606,0.7164388762338648,0.4824746652961009,0.4540059347181009,0.6970387243735763,0.6590909090909091,0.0020421267719693548,674
spatial,0.01,4.0,0.32067202337472606,0.4782135076252723,0.740909090909091,4.172727272727273,1369,0.32067202337472606,0.7168540426678423,0.47702606778383383,0.46097201767304863,0.7129840546697038,0.6909090909090909,0.0018653593064164031,679
v3_n2_temporal,0.012,0.0,0.35865595325054783,0.4554730983302412,0.75,4.9,1369,0.35865595325054783,0.5823977378693476,0.4100891226679775,0.40813253012048195,0.5519348268839104,0.6272727272727273,0.002742148695761948,664
