pct,price_lambda,period,samples,auc_roc,auc_pr,precision,recall
0.006,1.0,2020-2026,391,0.727130110795176,0.2556090972330375,0.265,0.8548387096774194
0.006,2.0,2005-2012,604,0.7424214573472421,0.3993961225968671,0.3821428571428571,0.7588652482269503
0.006,2.0,2013-2019,374,0.7370283018867925,0.41772222980720564,0.4460093896713615,0.8962264150943396
0.006,2.0,2020-2026,391,0.7325963329738209,0.26287306991425996,0.27450980392156865,0.9032258064516129
0.006,4.0,2005-2012,604,0.7400854740131427,0.3900590673255906,0.37992831541218636,0.75177304964539
0.006,4.0,2013-2019,374,0.7392987890735004,0.42672171719537016,0.4354066985645933,0.8584905660377359
0.006,4.0,2020-2026,391,0.7403912148249828,0.2711858350439387,0.27403846153846156,0.9193548387096774
0.008,0.0,2005-2012,604,0.7417568367786391,0.4887249481503444,0.4280701754385965,0.7093023255813954
0.008,0.0,2013-2019,374,0.7000845229151015,0.47059611352044917,0.497737556561086,0.8333333333333334
0.008,0.0,2020-2026,391,0.716268418956591,0.31569556435251,0.2994652406417112,0.691358024691358
0.008,0.25,2005-2012,604,0.7415684216192937,0.49529476164983655,0.43356643356643354,0.7209302325581395
0.008,0.25,2013-2019,374,0.7054689456548962,0.4807611658327899,0.4977578475336323,0.8409090909090909
0.008,0.25,2020-2026,391,0.7196535244922341,0.32474967902188057,0.32989690721649484,0.7901234567901234
0.008,0.5,2005-2012,604,0.7427258290267011,0.49843512799899864,0.4352517985611511,0.7034883720930233
0.008,0.5,2013-2019,374,0.7061733032807412,0.478011162246874,0.5,0.8409090909090909
0.008,0.5,2020-2026,391,0.7155913978494624,0.32000099509807317,0.3112244897959184,0.7530864197530864
0.008,1.0,2005-2012,604,0.7392603359173127,0.4860238135139892,0.42402826855123676,0.6976744186046512
0.008,1.0,2013-2019,374,0.7039976208364638,0.4771364254657731,0.5,0.8333333333333334
0.008,1.0,2020-2026,391,0.7200119474313023,0.32270565454345757,0.32663316582914576,0.8024691358024691
0.008,2.0,2005-2012,604,0.7383519056847545,0.4824726837691076,0.43157894736842106,0.7151162790697675
0.008,2.0,2013-2019,374,0.703935011269722,0.4745769303957579,0.4908256880733945,0.8106060606060606
0.008,2.0,2020-2026,391,0.714516129032258,0.315162725735258,0.3333333333333333,0.8148148148148148
0.008,4.0,2005-2012,604,0.7372348729543496,0.48540891852789675,0.425,0.6918604651162791
0.008,4.0,2013-2019,374,0.7004132231404959,0.47459225258629323,0.4858490566037736,0.7803030303030303
0.008,4.0,2020-2026,391,0.7189765033851055,0.31748083141462524,0.3383838383838384,0.8271604938271605
0.01,0.0,2005-2012,604,0.7431640255663553,0.5440805769227876,0.4864864864864865,0.6528497409326425
0.01,0.0,2013-2019,374,0.7058035056709383,0.5406504701306449,0.5530973451327433,0.8064516129032258
0.01,0.0,2020-2026,391,0.6780219780219781,0.3239090870694187,0.3128491620111732,0.6153846153846154
0.01,0.25,2005-2012,604,0.7371254238997517,0.5404202194460777,0.4712230215827338,0.6787564766839378
0.01,0.25,2013-2019,374,0.7073059360730594,0.5399999789703099,0.5605381165919282,0.8064516129032258
0.01,0.25,2020-2026,391,0.6874358974358974,0.33042883718451443,0.32105263157894737,0.6703296703296703
0.01,0.5,2005-2012,604,0.7413234496930272,0.5475678460556643,0.46863468634686345,0.6580310880829016
0.01,0.5,2013-2019,374,0.7008690528796583,0.5313383508017521,0.5560538116591929,0.8
0.01,0.5,2020-2026,391,0.6900732600732601,0.3397254982203429,0.33513513513513515,0.6813186813186813
0.01,1.0,2005-2012,604,0.7367913467720585,0.5411844065789835,0.4727272727272727,0.6735751295336787
0.01,1.0,2013-2019,374,0.6964354102224187,0.5265187397478007,0.5580357142857143,0.8064516129032258
0.01,1.0,2020-2026,391,0.6883333333333332,0.33153644350327094,0.3279569892473118,0.6703296703296703
0.01,2.0,2005-2012,604,0.7367661334039308,0.5415078683543911,0.4666666666666667,0.6528497409326425
0.01,2.0,2013-2019,374,0.6917808219178083,0.5262495811351254,0.5504587155963303,0.7741935483870968
0.01,2.0,2020-2026,391,0.6873809523809524,0.34299925648478957,0.3225806451612903,0.6593406593406593
0.01,4.0,2005-2012,604,0.7361799225949599,0.5386407642080757,0.46886446886446886,0.6632124352331606
0.01,4.0,2013-2019,374,0.68597731624687,0.5183576369123226,0.5409090909090909,0.7677419354838709
0.01,4.0,2020-2026,391,0.6969780219780219,0.345806706175127,0.3548387096774194,0.7252747252747253
0.012,0.0,2005-2012,604,0.7295066219996877,0.5628629189004389,0.5076335877862596,0.6244131455399061
0.012,0.0,2013-2019,374,0.696515256588072,0.5580515391917188,0.6060606060606061,0.8333333333333334
0.012,0.0,2020-2026,391,0.6920090585571013,0.4275761893155674,0.3672316384180791,0.5909090909090909
0.012,0.25,2005-2012,604,0.7288462231187637,0.5632585484999915,0.5019157088122606,0.6150234741784038
0.012,0.25,2013-2019,374,0.6944059177068886,0.5563170765408626,0.6043478260869565,0.8273809523809523
0.012,0.25,2020-2026,391,0.6913781947589778,0.40988420407633075,0.3785310734463277,0.6090909090909091
0.012,0.5,2005-2012,604,0.7314397896329382,0.5709587781022196,0.4924812030075188,0.6150234741784038
0.012,0.5,2013-2019,374,0.6924699491447064,0.5542127823914054,0.5948275862068966,0.8214285714285714
0.012,0.5,2020-2026,391,0.6973309608540925,0.4284829917905082,0.375,0.6272727272727273
0.012,1.0,2005-2012,604,0.7250099059832139,0.5663340059158464,0.4942528735632184,0.6056338028169014
0.012,1.0,2013-2019,374,0.6942469949144706,0.5553621805556584,0.6016949152542372,0.8452380952380952
0.012,1.0,2020-2026,391,0.6897282432869621,0.4137915234683745,0.37037037037037035,0.6363636363636364
0.012,2.0,2005-2012,604,0.7311636228281881,0.5693966704331265,0.49056603773584906,0.6103286384976526
0.012,2.0,2013-2019,374,0.6861852750809062,0.5486551100070999,0.5854700854700855,0.8154761904761905
0.012,2.0,2020-2026,391,0.7003396958912973,0.42024013799831406,0.3870967741935484,0.6545454545454545
0.012,4.0,2005-2012,604,0.7282098387426006,0.5650319365342371,0.4981549815498155,0.6338028169014085
0.012,4.0,2013-2019,374,0.6864886731391586,0.5488612010273304,0.5965665236051502,0.8273809523809523
0.012,4.0,2020-2026,391,0.6979941766418635,0.41656314921760473,0.372972972972973,0.6272727272727273
0.015,0.0,2005-2012,604,0.6940756505973897,0.6129123704151291,0.5809128630705395,0.5533596837944664
0.015,0.0,2013-2019,374,0.6884364305639432,0.638059945866007,0.659919028340081,0.8109452736318408
0.015,0.0,2020-2026,391,0.6502395926924228,0.42673623887145634,0.4088050314465409,0.5158730158730159
0.015,0.25,2005-2012,604,0.6976678715809149,0.621445309404965,0.5860655737704918,0.5652173913043478
0.015,0.25,2013-2019,374,0.6884939464527076,0.6389774439734208,0.673469387755102,0.8208955223880597
0.015,0.25,2020-2026,391,0.6625935908954778,0.4312612129292875,0.40606060606060607,0.5317460317460317
0.015,0.5,2005-2012,604,0.6996891996891998,0.6223081570779487,0.5958333333333333,0.5652173913043478
0.015,0.5,2013-2019,374,0.6870272912892186,0.6473265281309114,0.6748971193415638,0.8159203980099502
0.015,0.5,2020-2026,391,0.6629380053908356,0.43672421737625067,0.41317365269461076,0.5476190476190477
0.015,1.0,2005-2012,604,0.6970485231354796,0.6193802530432293,0.5889328063241107,0.5889328063241107
0.015,1.0,2013-2019,374,0.6859344894026975,0.6357998036555182,0.6707818930041153,0.8109452736318408
0.015,1.0,2020-2026,391,0.6646151542377958,0.4369867277023922,0.41317365269461076,0.5476190476190477
0.015,2.0,2005-2012,604,0.6995371777980474,0.6147299483811992,0.5795918367346938,0.5612648221343873
0.015,2.0,2013-2019,374,0.6774508958099675,0.6276452025730355,0.6680327868852459,0.8109452736318408
0.015,2.0,2020-2026,391,0.6665917939502845,0.4382311413297735,0.40828402366863903,0.5476190476190477
0.015,4.0,2005-2012,604,0.7043230521491392,0.6229086273296605,0.5741444866920152,0.5968379446640316
0.015,4.0,2013-2019,374,0.6703764414919622,0.61672064018502,0.673469387755102,0.8208955223880597
0.015,4.0,2020-2026,391,0.6630727762803235,0.43101383617455125,0.4269005847953216,0.5793650793650794
0.02,0.0,2005-2012,604,0.6680319778918278,0.6624557431381309,0.6458333333333334,0.5201342281879194
0.02,0.0,2013-2019,374,0.6686507936507937,0.7140900006756424,0.7375,0.7564102564102564
0.02,0.0,2020-2026,391,0.634697990136289,0.5440425924689174,0.509090909090909,0.48554913294797686
0.02,0.25,2005-2012,604,0.6703184629556521,0.6667013499826554,0.6452991452991453,0.5067114093959731
0.02,0.25,2013-2019,374,0.6675213675213675,0.7025591833835303,0.7479674796747967,0.7863247863247863
0.02,0.25,2020-2026,391,0.6338892718884234,0.5391165235484381,0.5182926829268293,0.4913294797687861
0.02,0.5,2005-2012,604,0.6735206386805281,0.6723038340466674,0.6622807017543859,0.5067114093959731
0.02,0.5,2013-2019,374,0.6592796092796094,0.7026203145520571,0.7310924369747899,0.7435897435897436
0.02,0.5,2020-2026,391,0.6329877499071962,0.5295555959084709,0.5294117647058824,0.5202312138728323
0.02,1.0,2005-2012,604,0.6773533798306794,0.6651292374399667,0.6440677966101694,0.5100671140939598
0.02,1.0,2013-2019,374,0.6576007326007326,0.6977449176381626,0.7341772151898734,0.7435897435897436
0.02,1.0,2020-2026,391,0.6320729702497745,0.5269402745518041,0.5304878048780488,0.5028901734104047
0.02,2.0,2005-2012,604,0.6798537088213361,0.6746936835138448,0.6541666666666667,0.5268456375838926
0.02,2.0,2013-2019,374,0.670940170940171,0.7139889334188203,0.7322175732217573,0.7478632478632479
0.02,2.0,2020-2026,391,0.6296600731823726,0.5297663115499159,0.5028901734104047,0.5028901734104047
0.02,4.0,2005-2012,604,0.678493880773786,0.6690905036887937,0.6623931623931624,0.5201342281879194
0.02,4.0,2013-2019,374,0.6584249084249084,0.6974445606790854,0.7257383966244726,0.7350427350427351
0.02,4.0,2020-2026,391,0.6318741051068569,0.5346645257625656,0.49707602339181284,0.4913294797687861
0.025,0.0,2005-2012,604,0.6456137048192772,0.6978955482112036,0.6949152542372882,0.4939759036144578
0.025,0.0,2013-2019,374,0.6580883599498185,0.7746132029961507,0.7829457364341085,0.7739463601532567
0.025,0.0,2020-2026,391,0.6101648351648352,0.5794799485578681,0.5517241379310345,0.4897959183673469
0.025,0.25,2005-2012,604,0.6359297484053862,0.690435486187804,0.6751054852320675,0.4819277108433735
0.025,0.25,2013-2019,374,0.6572915607093208,0.7745152487925013,0.7900763358778626,0.7931034482758621
0.025,0.25,2020-2026,391,0.5943615907901623,0.5575263430498649,0.5345911949685535,0.4336734693877551
0.025,0.5,2005-2012,604,0.6442682494684621,0.6969973151269081,0.6779661016949152,0.4819277108433735
0.025,0.5,2013-2019,374,0.6593598480995491,0.7745069769250605,0.7896825396825397,0.7624521072796935
0.025,0.5,2020-2026,391,0.6045656724228152,0.5642394450747243,0.5555555555555556,0.45918367346938777
0.025,1.0,2005-2012,604,0.6368986977321048,0.6941341900459067,0.6764705882352942,0.48493975903614456
0.025,1.0,2013-2019,374,0.66124165056115,0.772439721075607,0.7913385826771654,0.7701149425287356
0.025,1.0,2020-2026,391,0.6088173731030874,0.574323195651411,0.5333333333333333,0.4489795918367347
0.025,2.0,2005-2012,604,0.6452095145287031,0.7044456672328637,0.6822033898305084,0.48493975903614456
0.025,2.0,2013-2019,374,0.6476960634726884,0.768320261914064,0.7704918032786885,0.7203065134099617
0.025,2.0,2020-2026,391,0.6014913657770801,0.5595290534415496,0.5337423312883436,0.44387755102040816
